,Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
2718,MMAC,2020-06-04,"MMA Capital Holdings, Inc.",Financial,Mortgage Finance,USA,152.89M,1.69,27.4,0.62%,17106,-,-,18.42,0.57,6.59,11.76,304.50%,-,192.90%,-,-26.70%,5.80M,4.50M,2.30%,0.00%,24.30%,-1.74%,0.45%,1.5,13.53K,12.07%,16.10%,-13.29%,-13.04%,-12.46%,-13.84%,5.15%,4.81%,-,1.26,-,22.40%,38.30%,10.90%,-,-,0.81,0.81,95.90%,-,-,May 12/a,0.66,1.42,12.18%,11.20%,-6.18%,-22.82%,37.00%,61.05,1.52%,-0.88%
2719,MMC,2020-06-04,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,55.37B,31.20,108.72,-0.47%,2088774,21.39,5.99,3.21,7.52,37.41,89.17,5.90%,10.50%,5.60%,5.21%,5.20%,505.00M,505.20M,0.10%,-44.44%,90.50%,-0.27%,1.28%,1.98,3.26M,2.00%,8.44%,2.03%,2.54%,10.63%,-2.41%,1.40%,1.97%,2.50,0.64,1.67%,5.70%,23.10%,10.00%,1.10,1.10,1.54,1.87,-,16.10%,10.30%,Apr 30/b,0.88,2.34,3.43%,11.76%,5.44%,-9.31%,46.26%,68.66,0.03%,-0.49%
2720,MMD,2020-06-04,MainStay MacKay DefinedTerm Municipal Opportunities Fund,Financial,Closed-End Fund - Debt,USA,578.31M,-,20.92,-0.43%,25859,-,-,-,-,-,-,-,-,-,-,-,27.64M,-,0.01%,-,14.64%,-,-,0.53,88.36K,3.92%,6.03%,-3.24%,1.90%,1.95%,-0.52%,1.57%,1.29%,-,0.29,4.88%,-,-,-,-,-,-,-,-,-,-,-,-,0.31,4.35%,7.35%,1.54%,-8.61%,37.61%,71.83,-0.05%,-0.38%
2721,MMI,2020-06-04,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,USA,1.22B,16.28,30.59,0.69%,88908,17.23,2.71,1.46,2.38,3.67,815.53,-12.20%,136.67%,8.90%,6.00%,7.10%,39.54M,37.86M,1.10%,-0.93%,96.10%,-0.29%,1.52%,3.18,181.67K,8.98%,13.72%,0.33%,-15.61%,-1.29%,-17.88%,3.88%,4.57%,3.50,0.49,-,11.10%,15.40%,13.10%,5.40,5.40,0.00,0.01,37.70%,11.70%,8.90%,May 07/a,1.11,1.35,12.83%,10.37%,-8.40%,-20.00%,39.68%,63.72,1.49%,-0.79%
2722,MMLP,2020-06-04,Martin Midstream Partners L.P.,Energy,Oil & Gas Midstream,USA,106.66M,4.86,2.68,2.29%,219135,-,1.35,0.13,-,1066.64,8.67,139.60%,29.70%,21.50%,3.60%,-12.40%,38.64M,31.90M,2.20%,19.59%,47.40%,3.63%,4.17%,3.84,346.52K,4.69%,9.39%,23.50%,-36.04%,-57.19%,-33.50%,7.97%,9.74%,3.30,0.63,9.33%,-23.90%,439.70%,10.40%,0.30,0.20,-,-,44.30%,8.40%,-19.80%,Apr 22/a,3.26,0.28,8.92%,37.80%,-18.84%,-63.09%,196.13%,61.34,1.52%,0.76%
2723,MMM,2020-06-04,3M Company,Industrials,Specialty Industrial Machinery,USA,93.72B,19.07,162.55,0.83%,2826967,18.24,13.54,2.90,9.24,20.93,41.43,-14.90%,10.02%,0.90%,1.41%,0.20%,576.80M,574.05M,0.10%,-10.63%,68.20%,-2.92%,1.44%,1.72,4.83M,3.65%,10.26%,7.36%,-1.59%,-0.79%,-7.86%,1.92%,2.62%,3.20,0.58,3.62%,11.50%,48.50%,16.30%,1.70,1.20,1.90,2.22,47.60%,20.50%,15.40%,Apr 28/b,1.00,4.44,9.24%,11.52%,2.01%,-13.41%,42.54%,67.27,1.75%,-0.90%
2724,MMP,2020-06-04,"Magellan Midstream Partners, L.P.",Energy,Oil & Gas Midstream,USA,10.73B,9.79,47.15,2.10%,681995,11.46,-,3.72,4.22,77.03,-,-23.60%,9.68%,3.90%,-0.40%,2.90%,227.57M,224.40M,0.30%,-0.43%,69.20%,-0.69%,2.44%,2.47,2.22M,5.79%,9.40%,-14.23%,-19.53%,-24.39%,-25.00%,3.64%,3.96%,1.80,0.31,8.72%,13.30%,41.70%,16.20%,0.40,0.30,1.63,1.85,53.90%,44.60%,38.20%,May 01/b,1.07,1.86,8.37%,17.17%,-15.14%,-30.41%,114.12%,69.78,3.22%,-1.08%
2725,MMS,2020-06-04,"MAXIMUS, Inc.",Industrials,Specialty Business Services,USA,4.52B,22.53,72.74,0.15%,603910,19.96,1.80,1.45,4.08,-,22.21,11.30%,21.18%,12.00%,12.50%,11.20%,63.93M,60.27M,0.20%,-38.05%,99.00%,-4.06%,2.56%,2.77,555.36K,-0.42%,10.35%,11.63%,-1.60%,-1.54%,-2.22%,2.57%,3.18%,2.80,1.09,1.54%,11.30%,17.10%,19.10%,2.00,2.00,0.13,0.14,21.50%,8.90%,6.70%,May 07/b,0.93,2.12,4.88%,12.18%,1.97%,-11.31%,56.70%,65.23,1.06%,-0.89%
2726,MMSI,2020-06-04,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,2.43B,-,43.99,-2.00%,414801,27.00,-,2.43,2.59,48.51,125.92,-88.40%,51.82%,-28.80%,12.53%,14.30%,55.25M,53.62M,2.60%,-3.90%,-,-1.55%,9.13%,8.58,570.72K,0.99%,11.42%,16.01%,57.14%,-18.76%,40.90%,3.36%,4.25%,2.10,0.73,-,-0.20%,-0.40%,1.30%,2.80,1.40,0.47,0.47,43.20%,0.70%,-0.40%,Apr 23/a,1.10,1.92,3.82%,15.39%,31.10%,-28.97%,125.59%,58.24,-0.99%,-1.02%
2727,MMT,2020-06-04,MFS Multimarket Income Trust,Financial,Closed-End Fund - Debt,USA,373.02M,7.34,5.83,-0.51%,137814,-,-,15.10,0.91,-,-,-,-,-,-,-,63.98M,-,-,-,19.76%,-,-,0.82,287.19K,3.37%,4.86%,-2.02%,-4.27%,2.64%,-4.74%,1.43%,1.19%,-,0.48,7.89%,-,-,-,-,-,-,-,-,-,-,-,-,0.08,4.39%,9.61%,0.56%,-8.76%,56.72%,76.14,-0.34%,-0.17%
2728,MMU,2020-06-04,Western Asset Managed Municipals Fund Inc.,Financial,Closed-End Fund - Debt,USA,529.09M,8.96,12.2,0.00%,35975,-,-,14.90,0.88,-,-,-,-,-,-,-,43.37M,-,-,-,14.07%,-,-,0.16,128.88K,2.95%,5.72%,-11.14%,-9.56%,-11.47%,-8.41%,1.24%,1.02%,-,0.28,4.43%,-,-,-,-,-,-,-,-,-,-,-,-,0.14,4.64%,5.10%,-6.91%,-20.98%,36.01%,73.86,0.00%,0.00%
2729,MMX,2020-06-04,Maverix Metals Inc.,Basic Materials,Other Precious Metals & Mining,Canada,512.99M,-,4.29,2.63%,195628,-,-,14.58,-,-,-,-,-,-,-,-,119.58M,36.98M,68.62%,0.00%,19.02%,-,0.18%,0.4,164.86K,-12.98%,-7.34%,-1.83%,-0.46%,5.71%,-15.70%,6.64%,6.72%,-,1.19,0.93%,-,-,-,-,-,-,-,-,-,-,Jun 04/b,-,0.31,-9.32%,1.19%,-2.97%,-25.00%,70.92%,44.25,-0.46%,3.11%
2730,MMYT,2020-06-04,MakeMyTrip Limited,Consumer Cyclical,Travel Services,India,1.85B,-,17.63,2.26%,318083,-,-,3.67,1.51,8.37,-,25.80%,24.80%,-23.90%,33.90%,13.70%,104.94M,43.79M,85.40%,0.00%,76.90%,0.24%,8.14%,6.24,571.07K,11.65%,22.35%,-18.00%,-29.08%,-25.83%,-23.01%,4.01%,5.56%,2.10,0.56,-,-,-,-11.90%,1.60,1.60,0.02,0.02,68.10%,-,-,-,1.13,0.88,18.85%,27.47%,-16.03%,-41.49%,76.30%,68.1,1.91%,0.35%
2731,MN,2020-06-04,"Manning & Napier, Inc.",Financial,Asset Management,USA,51.61M,50.91,3.36,-0.30%,82665,8.00,6.36,0.39,0.33,0.35,-,-56.00%,250.00%,-32.50%,8.00%,-19.30%,15.81M,13.70M,16.00%,0.46%,37.10%,-15.88%,1.14%,0.91,172.47K,11.63%,-6.93%,114.01%,100.00%,72.31%,93.10%,4.48%,7.92%,4.00,0.48,-,0.80%,1.10%,1.40%,5.20,5.20,0.00,0.00,-,2.50%,1.30%,May 07/a,2.95,0.22,13.30%,28.95%,69.89%,-14.72%,239.39%,65.58,-0.30%,0.00%
2732,MNCL,2020-06-04,Monocle Acquisition Corporation,Industrials,Conglomerates,USA,226.75M,-,10.18,0.57%,4950,-,-,-,10.71,-,-,-,-,-,-,-,22.28M,0.36M,-,-,59.53%,-,6.36%,0.12,186.59K,0.47%,1.27%,-0.02%,0.77%,-,-0.02%,1.14%,0.37%,-,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,0.07,0.18%,0.47%,1.50%,-3.07%,7.13%,51.56,0.47%,0.10%
2733,MNE,2020-06-04,"BlackRock Muni New York Intermediate Duration Fund, Inc.",Financial,Closed-End Fund - Debt,USA,61.63M,10.06,14.64,-0.14%,14189,-,-,16.41,0.92,-,-,-,-,-,-,-,4.21M,-,-,-,28.56%,-,-,0.32,8.34K,0.00%,1.39%,-7.92%,2.38%,2.02%,-4.44%,0.68%,0.54%,-,1.7,2.94%,-,-,-,-,-,-,-,-,-,-,-,-,0.12,0.79%,1.99%,-0.63%,-9.12%,15.00%,63.09,0.21%,-0.34%
2734,MNK,2020-06-04,Mallinckrodt plc,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,243.23M,-,2.81,1.44%,3737939,0.68,-,0.08,0.12,0.30,0.47,72.20%,-33.66%,-51.60%,-11.70%,1.60%,84.20M,83.10M,0.90%,0.00%,81.70%,-12.15%,55.27%,7.04,6.53M,-2.77%,0.00%,-5.70%,-22.80%,-68.57%,-19.48%,6.85%,8.77%,3.20,0.57,-,-11.70%,-48.10%,-10.50%,1.50,1.20,2.50,2.83,45.10%,-45.30%,-39.60%,May 05/b,3.44,0.29,-8.50%,-6.25%,-15.22%,-73.34%,181.00%,47.25,1.08%,0.36%
2735,MNKD,2020-06-04,MannKind Corporation,Healthcare,Biotechnology,USA,298.67M,-,1.42,2.90%,1905509,-,-,4.83,-,7.68,-,56.00%,57.10%,36.50%,30.20%,-,212.47M,202.09M,0.30%,3.18%,24.70%,-12.53%,16.43%,14.18,2.34M,-4.70%,5.97%,11.81%,15.45%,22.41%,10.08%,5.87%,6.60%,1.40,0.81,-,-52.80%,24.10%,57.40%,0.70,0.70,-,-,51.60%,-56.10%,-75.00%,May 06/b,2.18,0.09,4.74%,14.21%,9.90%,-24.47%,77.50%,58.07,4.41%,-1.45%
2736,MNLO,2020-06-04,Menlo Therapeutics Inc.,Healthcare,Biotechnology,USA,316.25M,-,2.21,3.76%,4660002,-,-,175.70,1.35,5.49,-,-30.30%,44.40%,-,-,-,42.51M,121.97M,2.60%,0.00%,26.30%,87.80%,3.27%,1.08,3.71M,-11.95%,21.43%,-32.42%,-49.31%,-64.75%,-52.37%,15.39%,11.74%,1.90,1.26,-,-84.00%,-137.60%,-,1.70,1.70,0.47,0.47,84.50%,-,-,May 11/b,-,0.26,7.82%,14.32%,-44.07%,-70.45%,121.00%,58.59,5.74%,-1.88%
2737,MNOV,2020-06-04,"MediciNova, Inc.",Healthcare,Biotechnology,USA,228.23M,-,5.18,-4.78%,85429,-,-,-,3.10,3.72,-,16.00%,3.20%,4.70%,20.00%,-,43.95M,38.21M,2.20%,2.32%,22.10%,0.10%,5.84%,12.33,180.83K,-3.00%,0.97%,26.65%,-32.46%,-47.03%,-23.15%,4.32%,5.31%,2.00,0.47,-,-14.10%,-14.80%,-,34.60,34.60,0.00,0.00,-,-,-,-,1.71,0.3,-4.66%,3.96%,-19.55%,-52.21%,85.66%,51.03,-2.81%,-2.02%
2738,MNP,2020-06-04,Western Asset Municipal Partners Fund Inc.,Financial,Closed-End Fund - Debt,USA,136.55M,8.74,14.05,-0.57%,7962,-,-,14.56,0.85,-,-,-,-,-,-,-,9.72M,-,-,-,16.17%,-,-,0.15,30.31K,1.74%,3.77%,-9.53%,-6.52%,-4.97%,-7.81%,1.24%,1.17%,-,0.26,4.06%,-,-,-,-,-,-,-,-,-,-,-,-,0.17,2.68%,3.43%,-4.62%,-11.13%,24.20%,66.94,-1.20%,0.64%
2739,MNPR,2020-06-04,Monopar Therapeutics Inc.,Healthcare,Biotechnology,USA,85.64M,-,7.85,-1.88%,3653,-,-,-,6.71,6.80,-,-30.90%,-35.20%,-,-,-,10.61M,1.80M,2.10%,0.00%,0.20%,-26.83%,0.10%,0.36,5.31K,-0.59%,6.08%,-14.86%,-,-,-52.71%,3.89%,5.16%,2.00,0.69,-,-42.70%,-45.30%,-,28.70,28.70,0.00,0.00,-,-,-,-,-,0.43,0.87%,4.80%,-30.05%,-83.65%,58.91%,56.04,-1.88%,0.00%
2740,MNR,2020-06-04,Monmouth Real Estate Investment Corporation,Real Estate,REIT - Industrial,USA,1.35B,-,13.7,-1.37%,300259,32.01,-,8.24,2.31,37.53,34.90,-70.30%,62.50%,-12.10%,7.00%,19.20%,97.86M,94.67M,4.60%,-0.99%,71.60%,1.51%,1.29%,2.02,604.64K,5.06%,8.56%,-6.93%,-9.63%,-0.15%,-5.39%,3.11%,3.71%,2.30,0.5,4.96%,-2.80%,-8.20%,5.10%,-,-,1.47,1.47,83.10%,47.60%,-31.80%,May 06/a,0.78,0.56,8.77%,10.69%,-0.94%,-11.78%,62.71%,63.48,-1.23%,-0.14%
2741,MNRL,2020-06-04,"Brigham Minerals, Inc.",Energy,Oil & Gas E&P,USA,762.18M,93.99,13.44,-1.10%,331406,46.51,-,6.60,1.47,24.59,9.61,275.30%,307.04%,-,-,-,56.88M,23.91M,1.40%,-96.41%,-,0.86%,7.50%,3.19,562.26K,1.74%,7.52%,-17.75%,-30.94%,-35.23%,-37.31%,4.91%,6.64%,2.00,0.59,11.01%,1.00%,3.20%,8.70%,7.30,7.30,0.00,0.00,-,27.70%,6.60%,May 13/a,-,0.88,1.92%,18.56%,-19.06%,-42.29%,129.35%,57.56,0.45%,-1.55%
2742,MNRO,2020-06-04,"Monro, Inc.",Consumer Cyclical,Auto Parts,USA,2.07B,25.83,59.49,6.66%,558440,28.81,1.44,1.64,2.65,235.07,25.44,15.10%,106.71%,7.30%,18.00%,7.60%,33.27M,32.69M,1.79%,0.00%,99.40%,-0.80%,11.48%,8.52,440.76K,3.34%,12.51%,11.31%,-17.78%,-31.46%,-23.92%,5.28%,5.46%,2.70,1.27,1.48%,5.10%,11.00%,9.70%,0.90,0.30,0.66,0.71,38.50%,10.20%,6.30%,May 28/b,1.15,3.28,8.35%,17.68%,-9.67%,-33.61%,60.40%,60.26,7.80%,-1.06%
2743,MNSB,2020-06-04,"MainStreet Bancshares, Inc.",Financial,Banks - Regional,USA,123.12M,7.85,13.47,1.28%,26088,7.28,-,2.05,0.80,1.69,7.60,22.10%,7.56%,69.80%,-,52.20%,8.29M,1.51M,2.50%,-,49.30%,-3.22%,3.98%,3.33,18.03K,-8.30%,-7.55%,-33.61%,-38.58%,-43.87%,-41.43%,6.51%,6.52%,-,1.45,-,1.10%,10.50%,22.70%,-,-,0.11,0.11,-,64.40%,23.60%,-,0.45,0.88,0.00%,-6.65%,-31.46%,-45.24%,9.42%,47.69,1.58%,-0.30%
2744,MNST,2020-06-04,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,USA,36.80B,34.34,70.92,-2.19%,2936803,29.48,3.66,8.53,9.82,39.35,34.17,15.00%,15.40%,17.00%,9.39%,11.30%,536.06M,474.39M,0.10%,-49.85%,66.90%,-3.02%,1.69%,2.16,3.71M,0.07%,16.93%,5.65%,20.22%,10.76%,11.60%,2.56%,2.60%,2.10,0.79,-,22.20%,27.80%,26.20%,2.90,2.40,0.00,0.00,58.30%,33.70%,26.10%,May 07/a,1.03,1.85,4.47%,13.38%,15.57%,-3.42%,41.67%,65.34,-1.96%,-0.23%
2745,MNTA,2020-06-04,"Momenta Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,3.57B,-,30.07,1.45%,669104,-,-,124.66,8.22,7.70,-,-29.10%,-2.00%,-8.90%,-,-14.50%,117.13M,116.57M,0.30%,-68.91%,100.00%,-1.37%,3.50%,3.74,1.09M,-5.17%,-10.45%,-5.59%,82.02%,150.37%,52.41%,5.39%,6.82%,2.30,0.61,-,-55.20%,-77.40%,-65.60%,5.90,5.90,0.00,0.00,-,-,-,May 07/b,1.47,2.0,-5.09%,-0.23%,34.12%,-14.40%,216.19%,46.13,2.38%,-0.91%
2746,MNTX,2020-06-04,"Manitex International, Inc.",Industrials,Farm & Heavy Construction Machinery,USA,83.62M,-,4.52,3.20%,46275,8.86,-,0.39,1.24,-,29.86,39.70%,5000.00%,-23.20%,30.00%,4.90%,19.73M,14.29M,22.50%,0.56%,57.20%,1.59%,1.57%,7.72,29.14K,12.72%,21.18%,-21.66%,-12.40%,-19.86%,-24.03%,4.72%,7.51%,1.00,1.59,-,-8.20%,-20.90%,-6.10%,1.60,0.80,0.41,0.90,17.90%,-6.00%,-7.80%,Jun 08/a,1.24,0.3,6.07%,11.49%,-13.77%,-33.46%,63.77%,57.75,4.15%,-0.91%
2747,MO,2020-06-04,"Altria Group, Inc.",Consumer Defensive,Tobacco,USA,75.68B,-,40.73,1.29%,7811010,9.05,-,2.93,11.57,13.48,33.09,-117.20%,6.03%,-17.70%,3.18%,0.50%,1.86B,1.86B,0.10%,0.00%,64.50%,0.53%,0.88%,1.27,12.83M,4.95%,10.68%,-5.63%,-18.70%,-18.03%,-18.39%,2.01%,2.42%,2.10,0.61,8.25%,-1.60%,-9.20%,-5.00%,0.70,0.50,4.12,4.58,49.40%,2.50%,-3.40%,Apr 30/b,0.47,1.09,8.43%,6.88%,-7.03%,-22.35%,31.60%,66.99,1.88%,-0.57%
2748,MOBL,2020-06-04,"MobileIron, Inc.",Technology,Software - Application,USA,583.46M,-,5.12,2.20%,1250957,-,-,2.82,16.00,-,-,-5.70%,55.60%,19.40%,-,9.20%,113.96M,112.81M,2.90%,-4.82%,77.50%,1.14%,3.57%,4.2,958.30K,21.04%,7.79%,34.74%,7.11%,-5.19%,5.35%,6.20%,4.70%,2.60,1.31,-,-21.90%,-118.90%,-139.50%,1.30,1.30,0.00,0.00,79.40%,-20.80%,-21.50%,Apr 29/a,1.49,0.25,11.43%,16.50%,0.69%,-34.27%,74.15%,66.11,2.40%,-0.20%
2749,MOD,2020-06-04,Modine Manufacturing Company,Consumer Cyclical,Auto Parts,USA,305.82M,22.13,6.02,4.33%,439716,5.19,2.49,0.15,0.57,8.45,45.64,27.00%,48.72%,-11.20%,8.90%,8.40%,50.80M,48.82M,1.30%,0.00%,88.70%,-0.69%,1.32%,1.22,530.86K,18.50%,47.55%,-4.75%,-16.39%,-55.64%,-21.82%,9.28%,8.76%,2.50,0.83,-,1.80%,5.10%,10.90%,1.30,0.80,0.61,0.83,15.70%,3.70%,1.30%,May 28/a,2.33,0.42,35.77%,47.25%,-19.11%,-59.76%,111.97%,75.51,5.99%,-1.56%
2750,MODN,2020-06-04,"Model N, Inc.",Technology,Software - Application,USA,1.05B,-,31.66,-2.10%,407807,93.39,-,7.00,17.21,17.10,79.39,-438.00%,15.70%,6.90%,-,11.60%,33.79M,28.13M,3.80%,-10.23%,84.20%,-0.61%,2.32%,1.29,507.62K,2.06%,15.21%,13.35%,7.14%,75.99%,-9.72%,4.65%,6.42%,1.90,0.8,-,-9.60%,-28.80%,-16.50%,1.40,1.40,0.62,0.63,56.10%,-9.20%,-10.90%,May 05/a,1.01,1.77,2.41%,17.50%,8.97%,-11.66%,111.07%,59.3,-1.09%,-1.02%
2751,MOFG,2020-06-04,"MidWestOne Financial Group, Inc.",Financial,Banks - Regional,USA,343.70M,9.52,20.73,2.88%,47990,8.93,1.19,1.75,0.67,2.26,8.11,18.20%,54.73%,5.90%,8.00%,23.20%,16.14M,14.79M,2.40%,1.58%,63.30%,-14.84%,0.68%,2.09,48.45K,4.86%,9.80%,-26.67%,-37.97%,-25.83%,-42.78%,4.77%,6.98%,2.00,0.99,4.25%,0.70%,6.90%,21.80%,-,-,0.17,0.17,-,65.10%,17.50%,-,1.04,1.39,12.77%,8.63%,-27.14%,-46.89%,35.93%,57.91,3.65%,-0.74%
2752,MOG-A,2020-06-04,Moog Inc.,Industrials,Aerospace & Defense,USA,2.10B,11.22,62.5,1.31%,227449,17.08,-,0.69,1.68,-,304.26,236.40%,-15.28%,7.70%,-10.01%,1.90%,33.43M,30.00M,0.20%,0.00%,97.60%,-3.53%,2.31%,2.6,266.74K,12.13%,33.69%,-19.68%,-25.45%,-28.13%,-26.75%,4.33%,5.58%,2.70,0.85,1.60%,6.00%,14.70%,8.30%,2.40,1.60,0.88,0.88,27.70%,8.20%,6.40%,Apr 24/b,1.57,3.19,27.31%,24.96%,-16.64%,-35.23%,92.37%,68.48,1.53%,-0.21%
2753,MOG-B,2020-06-04,Moog Inc.,Industrials,Aerospace & Defense,USA,154.23M,10.60,59.76,-3.88%,154,-,-,0.05,1.56,-,-,-,-,-,-,-,2.58M,-,-,-,5.75%,-,-,0.67,0.96K,32.80%,20.73%,-31.71%,-33.08%,-31.53%,-30.83%,0.36%,4.75%,-,0.16,1.67%,-,-,-,-,-,-,-,-,-,-,May 08/b,-,4.37,16.83%,-14.00%,-25.64%,-37.72%,77.96%,51.13,0.00%,-3.88%
2754,MOGU,2020-06-04,MOGU Inc.,Consumer Cyclical,Internet Retail,China,198.94M,-,1.63,2.52%,147635,74.09,-,1.52,0.60,1.19,-,-86.40%,71.10%,-,-,-,109.18M,36.49M,6.83%,0.00%,28.40%,0.16%,0.04%,0.22,68.76K,8.67%,59.80%,-11.41%,-20.09%,-65.17%,-28.51%,22.46%,12.22%,2.50,2.15,-,-70.20%,-81.30%,-13.70%,2.70,2.70,0.00,0.00,68.30%,-,-,May 29/b,-,0.17,37.96%,47.85%,-16.27%,-67.42%,85.14%,69.48,5.84%,-3.14%
2755,MOH,2020-06-04,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,USA,10.33B,15.18,173.58,-3.10%,645322,13.28,2.08,0.60,6.34,2.36,42.70,9.10%,9.75%,54.80%,7.30%,11.70%,60.20M,58.80M,0.60%,-1.43%,-,-4.55%,4.15%,2.94,829.87K,-7.11%,-4.14%,23.97%,30.33%,13.20%,27.92%,3.95%,4.12%,2.20,0.78,-,10.50%,40.00%,23.90%,1.80,1.80,1.11,1.12,17.40%,6.10%,4.20%,Apr 30/a,0.71,7.41,-3.68%,5.35%,26.62%,-11.67%,68.77%,48.62,-2.21%,-0.91%
2756,MOHO,2020-06-04,ECMOHO Limited,Consumer Cyclical,Specialty Retail,China,96.76M,13.78,2.77,-13.44%,140170,13.19,-,0.41,-,8.27,-,-,-102.90%,-,-,-,34.93M,5.43M,9.25%,0.00%,0.10%,-10.27%,0.04%,0.06,35.73K,-20.97%,-30.92%,-52.24%,-73.16%,-,-52.20%,11.37%,10.22%,3.00,3.92,-,-,-,-67.40%,1.40,0.90,-,-,28.30%,-,-,-,-,0.33,-24.26%,-43.63%,-58.30%,-75.93%,-3.82%,20.85,-10.65%,-3.13%
2757,MOMO,2020-06-04,Momo Inc.,Communication Services,Internet Content & Information,China,4.53B,10.53,21.1,2.43%,4405171,7.18,4.13,1.92,2.37,2.09,6.97,1.30%,29.63%,99.90%,2.55%,228.10%,208.65M,56.97M,4.28%,0.00%,72.90%,-4.34%,11.51%,1.59,4.13M,5.76%,1.78%,-21.49%,-41.34%,-26.10%,-34.70%,4.96%,4.87%,1.70,1.07,-,14.90%,25.30%,14.30%,4.70,4.70,0.38,0.38,49.70%,22.20%,19.10%,May 28/b,1.75,1.18,0.34%,-2.67%,-28.85%,-46.48%,13.75%,51.06,4.51%,-1.99%
2758,MOR,2020-06-04,MorphoSys AG,Healthcare,Biotechnology,Germany,4.17B,-,31.92,-1.54%,40321,-,-,-,6.51,-,-,68.50%,-334.20%,-,-,-,130.66M,126.81M,-,-,7.16%,-,0.56%,5.1,138.50K,-0.81%,23.10%,10.60%,1.20%,37.29%,-10.51%,1.75%,2.92%,2.00,0.29,-,-,-,-,-,-,-,-,-,-,-,Mar 18/a,-,0.99,0.39%,14.48%,8.93%,-15.91%,75.29%,59.24,-1.24%,-0.31%
2759,MORF,2020-06-04,"Morphic Holding, Inc.",Healthcare,Biotechnology,USA,721.06M,-,23.23,-2.72%,53720,-,-,43.70,5.48,3.30,-,-78.70%,-12.00%,-,-,-,30.19M,17.30M,41.36%,-0.31%,57.60%,24.67%,2.59%,5.73,78.24K,10.20%,59.22%,30.65%,54.66%,-,35.37%,9.73%,9.67%,1.70,0.69,-,-,-,-34.00%,6.10,6.10,0.00,0.00,-,-,-,Feb 25,-,1.81,25.61%,46.28%,39.02%,-30.66%,134.65%,68.2,-0.85%,-1.88%
2760,MORN,2020-06-04,"Morningstar, Inc.",Financial,Financial Data & Stock Exchanges,USA,6.30B,45.45,149.98,-2.35%,72286,-,2.84,5.06,6.23,18.05,31.65,-17.30%,-,15.10%,16.00%,9.20%,42.90M,21.72M,48.30%,-4.01%,47.10%,0.53%,1.47%,2.62,121.86K,-0.29%,2.17%,6.88%,-3.05%,3.84%,-0.88%,2.97%,2.87%,-,0.59,0.80%,6.70%,13.70%,9.00%,1.30,1.30,0.50,0.51,58.60%,14.80%,11.50%,Apr 29/a,1.14,4.71,2.91%,10.41%,1.36%,-9.97%,46.19%,63.21,-1.75%,-0.61%
2761,MOS,2020-06-04,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,5.30B,-,13.86,1.02%,5240517,16.50,-,0.60,0.63,4.96,32.62,-328.60%,337.50%,-24.90%,7.00%,-0.30%,378.80M,343.15M,0.20%,5.16%,80.10%,-0.24%,3.60%,2.07,5.96M,13.61%,17.66%,-14.39%,-24.80%,-37.71%,-35.95%,5.03%,5.89%,2.30,0.88,1.44%,-7.10%,-14.70%,-6.30%,1.30,0.70,0.54,0.67,7.10%,-15.50%,-15.90%,May 04/a,1.69,0.78,19.68%,22.34%,-19.04%,-46.08%,113.23%,66.52,1.76%,-0.73%
2762,MOV,2020-06-04,"Movado Group, Inc.",Consumer Cyclical,Luxury Goods,USA,210.96M,6.75,12.38,7.47%,251992,10.83,0.45,0.30,0.54,1.13,210.96,-20.20%,61.44%,-2.00%,15.00%,3.60%,23.12M,16.22M,4.80%,0.00%,-,-2.54%,11.68%,6.09,311.17K,14.31%,30.18%,-13.37%,-33.73%,-51.53%,-43.05%,7.78%,6.21%,3.00,0.81,-,5.00%,8.40%,4.80%,4.30,2.70,0.10,0.10,53.50%,6.10%,6.10%,Mar 26/b,0.53,0.72,19.33%,20.26%,-32.08%,-56.98%,52.46%,68.64,8.88%,-1.30%
